        sn_name        |            gal_name            | sn_gal_uncert |    gal_ra    |   gal_dec   | gal_mag | gal_mband | gal_mag_ref | gal_posang | gal_inclination | redshift  | gal_type | gal_logab | gal_log10d | gal_type_code | sn_offset_ew | sn_offset_ns | sn_mag | sn_mflag | sn_mband |  sn_qmag  | sn_optdisc |  max_date  | disc_date  | sn_type  |    sn_ra     |   sn_dec    |    sn_uncert    |   surveys   |                                                                                                                                                                                         discoverer                                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                       sn_comment                                                                                                                                                                                                                                                                                                                        |                                                                                                                                            gal_comment                                                                                                                                            |                        mod_date_arr                         
2010jt | PGC095451 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-06 |  | 23 43 41.24 | -41 18 46.9 |  |  |  |  |  | 
2010jo | UGC00595 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-06 | Ia | 00 57 35.61 | - 1 23 33.3 |  |  |  |  |  | 
2010le |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-05 | Ia | 00 20 52.21 | +33 39 35.5 |  |  |  |  |  | 
2010lx |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-03 | IIn | 04 44 44.57 | -22 12 19.1 |  |  |  |  |  | 
2010ld | SDSSJ090403.08+090528.4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-03 | Ia | 09 04 03.07 | + 9 05 27.9 |  |  |  |  |  | 
2010jl | PGC027776 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-03 | IIn | 09 42 53.33 | + 9 29 41.8 |  |  |  |  |  | 
2010jj | NGC0812 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-03 | IIn | 02 06 52.23 | +44 34 17.5 |  |  |  |  |  | 
2010kj |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-02 | Ia | 02 48 37.15 | + 7 24 10.8 |  |  |  |  |  | 
2010jz |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-02 | Ia | 07 17 15.74 | +45 23 03.7 |  |  |  |  |  | 
2010jm | PGC1414574 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-02 | Ia | 03 46 03.55 | +12 42 15.5 |  |  |  |  |  | 
2010je | NGC6350 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-11-02 |  | 17 18 36.61 | +41 40 56.7 |  |  |  |  |  | 
2010lc |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-31 | Ia | 01 55 01.38 | +11 39 25.2 |  |  |  |  |  | 
2010jk | SDSSJ011235.64+152828.0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-31 | IIn: | 01 12 35.63 | +15 28 28.5 |  |  |  |  |  | 
2010jy |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-30 | IIn | 23 09 43.58 | + 5 41 56.2 |  |  |  |  |  | 
2010jb | IC1615 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-30 | Ia | 01 04 07.68 | -51 08 05.4 |  |  |  |  |  | 
2010jc | NGC1033 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-29 | IIP | 02 40 13.98 | - 8 46 27.1 |  |  |  |  |  | 
2010lb |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-28 | IIP | 03 19 57.50 | -14 47 07.9 |  |  |  |  |  | 
2010jx |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-28 | Ia | 01 19 42.22 | +30 24 49.2 |  |  |  |  |  | 
2010jf | PGC1183175 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-20 | IaPec | 03 40 43.47 | + 1 03 34.0 |  |  |  |  |  | 
2009ny | SDSS J221123.73-091240.8 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-20 | Ib | 22 11 23.59 | - 9 12 44.4 |  |  |  |  |  | 
2010la |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-19 | IIP | 02 24 15.37 | -15 51 11.6 |  |  |  |  |  | 
2010iy | ESO281-014 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-18 |  | 18 36 36.91 | -47 03 15.7 |  |  |  |  |  | 
2010ji | UGC01230 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-17 | II | 01 45 31.91 | +25 32 15.3 |  |  |  |  |  | 
2010iz | UGC03552 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-16 | IIP | 06 49 50.94 | +28 22 22.1 |  |  |  |  |  | 
2010ix | PGC003583 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-16 | Ia | 01 00 02.49 | +41 42 57.6 |  |  |  |  |  | 
2010ja | NGC2513 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-15 | Ia | 08 02 28.39 | + 9 23 40.9 |  |  |  |  |  | 
2010iv | APMUKS(BJ)B040213.80-433348.0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-15 | Ia | 04 03 52.23 | -43 25 38.5 |  |  |  |  |  | 
2010iw | UGC04570 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-14 | IaPec | 08 45 15.01 | +27 49 21.8 |  |  |  |  |  | 
2010kz |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-13 | Ia | 02 45 37.19 | -11 12 39.4 |  |  |  |  |  | 
2010ky | APMUKS(BJ)B003732.72-065255.0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-12 | IIP | 00 40 04.97 | - 6 36 16.5 |  |  |  |  |  | 
2010jn | NGC2929 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-12 | Ia | 09 37 30.26 | +23 09 33.4 |  |  |  |  |  | 
2010jh |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-12 |  | 22 35 16.47 | -21 41 54.1 |  |  |  |  |  | 
2010is | PGC071056 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-12 | Ib/c | 23 19 14.39 | +26 03 12.2 |  |  |  |  |  | 
2010ir | ESO491-012 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-12 | IIb | 06 57 23.79 | -24 43 10.5 |  |  |  |  |  | 
2010jg | PGC1010093 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-11 |  | 22 04 27.42 | - 7 58 41.2 |  |  |  |  |  | 
2010it | NGC1417 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-11 | Ia | 03 41 57.50 | - 4 42 21.1 |  |  |  |  |  | 
2010iq | IC5145 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-11 |  | 21 54 23.25 | +15 09 20.6 |  |  |  |  |  | 
2010iu |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-07 | Ia | 00 40 02.48 | -56 09 29.9 |  |  |  |  |  | 
2010in | PGC715978 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-06 |  | 01 16 14.62 | -30 32 45.4 |  |  |  |  |  | 
2010im |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-04 | Ia | 20 11 31.59 | -45 41 57.8 |  |  |  |  |  | 
2010ip | PGC1302913 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-10-03 | Ia | 03 29 48.50 | + 6 32 55.3 |  |  |  |  |  | 
2010io | UGC04543 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-30 | Ic | 08 43 21.41 | +45 44 18.0 |  |  |  |  |  | 
2010ii | NGC7342 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-30 | Ia | 22 38 13.18 | +35 29 30.0 |  |  |  |  |  | 
2010il | NGC6922 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-29 | Ib/c | 20 29 53.12 | - 2 11 24.7 |  |  |  |  |  | 
2010ih | NGC2325 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-29 | Ia | 07 02 43.63 | -28 37 25.2 |  |  |  |  |  | 
2010ig | UGC01306 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-28 | Ib | 01 50 48.97 | +32 32 58.9 |  |  |  |  |  | 
2010if | NGC7372 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-26 | Ib | 22 45 45.20 | +11 07 53.6 |  |  |  |  |  | 
2010ie | NGC2333 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-23 | IIP | 07 08 23.71 | +35 10 11.2 |  |  |  |  |  | 
2010jd | FCCB 1147 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-20 | Ia | 03 37 22.20 | -33 02 39.7 |  |  |  |  |  | 
2010ic | UGC11983 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-20 | II | 22 19 04.35 | +33 19 46.9 |  |  |  |  |  | 
2010ik | UGC00112 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-17 |  | 00 12 07.47 | +41 45 24.6 |  |  |  |  |  | 
2010id | NGC7483 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-16 | II | 23 05 49.04 | + 3 31 20.6 |  |  |  |  |  | 
2010ia | PGC014151 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-16 | Ia | 03 56 56.20 | + 8 30 45.1 |  |  |  |  |  | 
2010hx | NGC3258 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-16 | Ia | 10 28 51.06 | -35 36 22.3 |  |  |  |  |  | 
2010ij | PGC068600 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-15 | Ia | 22 20 20.19 | +17 03 22.2 |  |  |  |  |  | 
2010hz | UGC01359 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-12 | Ia | 01 53 41.97 | +29 56 04.6 |  |  |  |  |  | 
2010hw | UGC10685 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-12 | II | 17 04 50.19 | +12 55 36.4 |  |  |  |  |  | 
2010hs | PGC1715790 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-12 | Ia | 02 25 39.14 | +24 45 53.6 |  |  |  |  |  | 
2010hu |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-11 | Ia | 23 22 13.33 | - 5 19 07.5 |  |  |  |  |  | 
2010hr | PGC018452 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-08 |  | 06 07 59.00 | +39 15 54.4 |  |  |  |  |  | 
2010hq | UGC03691 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-08 | IIP | 07 08 03.35 | +15 11 10.0 |  |  |  |  |  | 
2010ib | Minkowski's Object |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-05 | II | 01 25 47.54 | - 1 22 29.7 |  |  |  |  |  | 
2010hy |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-04 | IcPec | 18 59 32.89 | +19 24 25.9 |  |  |  |  |  | 
2010ho | PGC1361264 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-04 | Ia | 23 19 10.24 | + 9 11 54.4 |  |  |  |  |  | 
2010hm | UGC12687 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-02 | IIP | 23 35 18.58 | +12 55 31.9 |  |  |  |  |  | 
2010hl | PGC059986 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-02 |  | 17 16 33.34 | +57 52 08.3 |  |  |  |  |  | 
2010hk | UGC02802 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-02 | Ia | 03 37 52.61 | + 4 56 52.2 |  |  |  |  |  | 
2010hi | NGC6621 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-01 |  | 18 13 00.71 | +68 21 53.2 |  |  |  |  |  | 
2010hh | NGC6524 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-01 | IaPec | 17 59 18.38 | +45 52 32.2 |  |  |  |  |  | 
2010hg | NGC3001 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-09-01 | Ia | 09 46 13.70 | -30 27 13.3 |  |  |  |  |  | 
2010hf | PGC019327 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-31 | IIb | 06 37 19.77 | +56 22 57.8 |  |  |  |  |  | 
2010hv | 2MASXJ23242536-1902139 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-28 | IIP | 23 24 25.30 | -19 02 14.4 |  |  |  |  |  | 
2010hb | UGC02537 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-24 |  | 03 07 01.66 | +46 37 20.2 |  |  |  |  |  | 
2010mc |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-20 | IIn | 17 21 30.68 | +48 07 47.4 |  |  |  |  |  | 
2010he | NGC1120 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-20 | Ia | 02 49 10.80 | -14 26 59.8 |  |  |  |  |  | 
2010ha | IC1764 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-19 |  | 02 00 24.84 | +24 34 43.5 |  |  |  |  |  | 
2010gz | NGC0599 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-16 | Ia | 01 32 51.06 | -12 11 21.6 |  |  |  |  |  | 
2010ht |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-13 | IIP | 23 34 47.45 | -12 50 36.1 |  |  |  |  |  | 
2010gw | IC4992 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-10 | IIP | 20 23 25.31 | -71 34 04.9 |  |  |  |  |  | 
2010gv | SDSS J175822.33+504733.1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-09 | Ia | 17 58 22.56 | +50 47 34.4 |  |  |  |  |  | 
2010hn | 2MASXJ21431842-1503184 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-07 |  | 21 43 19.14 | -15 03 19.6 |  |  |  |  |  | 
2010hd | ESO290-001 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-07 | IIn | 22 41 51.84 | -46 05 45.4 |  |  |  |  |  | 
2010gu | PGC630178 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-07 |  | 22 19 23.16 | -36 58 24.5 |  |  |  |  |  | 
2010hc | ESO339-006 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-05 | IIb | 19 55 08.24 | -39 21 58.5 |  |  |  |  |  | 
2010gy |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-05 | Ia | 02 27 12.04 | - 4 32 04.9 |  |  |  |  |  | 
2010hj | ESO145-016 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-04 | Ia | 21 49 09.84 | -59 02 23.2 |  |  |  |  |  | 
2010gt | ESO187-021 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-02 |  | 20 51 22.38 | -52 32 48.1 |  |  |  |  |  | 
2010gs | PGC065331 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-08-01 | II | 20 45 39.51 | - 5 35 11.8 |  |  |  |  |  | 
2010gr | UGC02035 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-29 | Ib/c | 02 33 58.96 | +44 20 50.2 |  |  |  |  |  | 
2010hp | PGC001221 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-21 | II | 00 18 50.01 | -10 21 40.6 |  |  |  |  |  | 
2010gq | PGC001142 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-21 | II | 00 17 25.70 | - 0 58 37.7 |  |  |  |  |  | 
2010go |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-20 |  | 12 50 00.16 | - 7 54 59.9 |  |  |  |  |  | 
2010gm | PGC060493 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-19 | Ia | 17 33 20.86 | +44 06 16.3 |  |  |  |  |  | 
2010gl | NGC6189 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-18 | Ia | 16 31 38.62 | +59 37 26.2 |  |  |  |  |  | 
2010gi | IC4660 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-18 |  | 17 21 46.05 | +75 50 44.7 |  |  |  |  |  | 
2010gk | NGC5433 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-17 | Ic: | 14 02 35.94 | +32 30 30.7 |  |  |  |  |  | 
2010gp | NGC6240 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-14 | Ia | 16 52 57.39 | + 2 23 16.4 |  |  |  |  |  | 
2010gh | IC4523 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-13 | IIP | 15 05 13.46 | -43 30 59.6 |  |  |  |  |  | 
2010gg | ESO602-025 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-12 | II | 22 31 25.47 | -19 01 54.8 |  |  |  |  |  | 
2010gc | PGC944461 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-12 | Ia | 13 23 06.30 | -13 00 18.1 |  |  |  |  |  | 
2010gf | UGC00633 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-11 | II | 01 01 21.14 | +31 30 46.4 |  |  |  |  |  | 
2010gb | UGC09947 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-11 | Ia | 15 38 39.79 | +41 00 19.9 |  |  |  |  |  | 
2010gj | PGC190539 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-10 | IaPec | 21 50 54.34 | -17 46 09.4 |  |  |  |  |  | 
2010fz | NGC2967 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-09 | Ia | 09 42 04.77 | + 0 19 51.0 |  |  |  |  |  | 
2010gd | UGC11064 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-08 | Ic | 17 57 40.98 | +27 49 48.1 |  |  |  |  |  | 
2010ga | PGC3091380 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-08 | IaPec | 00 34 43.83 | + 9 54 36.1 |  |  |  |  |  | 
2010gn | SDSSJ171750.05+405252.5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-07 | Ia | 17 17 49.90 | +40 52 52.0 |  |  |  |  |  | 
2010fy | PGC510772 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-07 | Ia | 05 24 52.46 | -46 46 37.1 |  |  |  |  |  | 
2010fx | PGC070370 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-04 | IIP | 23 03 43.29 | - 7 13 54.2 |  |  |  |  |  | 
2010fw | UGC10995 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-02 | II | 17 47 32.41 | +64 01 24.3 |  |  |  |  |  | 
2010fv | NGC5888 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-01 |  | 15 13 06.52 | +41 16 05.5 |  |  |  |  |  | 
2010ex | PGC070222 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-07-01 | Ia | 23 00 10.90 | +26 05 57.2 |  |  |  |  |  | 
2010ey | ESO548-076 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-30 | Ia | 03 41 31.50 | -19 54 00.4 |  |  |  |  |  | 
2010ew | PGC062141 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-28 | Ia | 18 37 11.88 | +30 37 49.6 |  |  |  |  |  | 
2010ev | NGC3244 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-23 | Ia | 10 25 29.01 | -39 49 51.0 |  |  |  |  |  | 
2010eu | SDSSJ213135.87+122857.8 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-20 |  | 21 31 36.16 | +12 28 50.7 |  |  |  |  |  | 
2010el | NGC1566 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-19 | IaPec | 04 19 58.83 | -54 56 38.5 |  |  |  |  |  | 
2010em | UGC12237 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-18 | II | 22 54 20.33 | +11 46 54.7 |  |  |  |  |  | 
2010fu | SDSSJ122146.39+463912.9 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-16 | Ia | 12 21 46.46 | +46 39 13.3 |  |  |  |  |  | 
2010et | PGC059998 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-16 |  | 17 16 54.08 | +31 33 50.6 |  |  |  |  |  | 
2010es | SDSSJ163317.86+114506.1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-16 |  | 16 33 17.92 | +11 45 04.9 |  |  |  |  |  | 
2010ft |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-15 | Ia | 16 01 15.41 | +54 17 53.5 |  |  |  |  |  | 
2010fs | SDSSJ141403.24+532144.4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-15 | Ia | 14 14 03.34 | +53 21 43.8 |  |  |  |  |  | 
2010fr |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-15 | Ia | 14 11 57.76 | +52 04 18.6 |  |  |  |  |  | 
2010fq |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-15 | Ia | 12 21 59.47 | +45 50 50.0 |  |  |  |  |  | 
2010fp |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-15 | Ia | 12 14 06.50 | +46 59 32.4 |  |  |  |  |  | 
2010ek | UGC12191 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-15 | IIb | 22 48 40.96 | +27 37 11.4 |  |  |  |  |  | 
2010ej | SDSSJ141356.56+313224.6 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-15 | IIb: | 14 13 56.74 | +31 32 25.1 |  |  |  |  |  | 
2010ee | UGC08652 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-14 | II | 13 40 17.99 | +26 21 11.9 |  |  |  |  |  | 
2010eh | PGC065420 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-13 | Ic | 20 48 13.54 | - 5 48 13.0 |  |  |  |  |  | 
2010ei | SDSS J145407.71+423253.1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-12 | IIb: | 14 54 07.69 | +42 32 54.6 |  |  |  |  |  | 
2010ed | UGC10728 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-12 | Ia | 17 09 24.13 | +22 12 48.1 |  |  |  |  |  | 
2010eb | NGC0488 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-12 | IaPec | 01 21 37.78 | + 5 17 39.9 |  |  |  |  |  | 
2010ge |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-10 |  | 15 43 43.91 | - 9 28 34.0 |  |  |  |  |  | 
2010er | SDSSJ155010.72+121642.8 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-09 |  | 15 50 11.14 | +12 16 42.5 |  |  |  |  |  | 
2010dx | NGC7038 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-08 | II | 21 15 11.09 | -47 13 34.3 |  |  |  |  |  | 
2010eg | SDSSJ221542.45-092018.5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2010-06-07 | Ia | 22 15 42.56 | - 9 20 17.3 |  |  |  |  |  | 
